topic_id	topic_words	topic_weight	year
7	kuopio lääni tapio savo rautalampi karttula oulu suonenjoki dahlström herra	0.015738500361025	1855
8	vuosi päivä markka kaupunki sanoa maksaa pitäjä tynnyri mainita suomi	0.030414580709905	1855
9	till tili kello kaupunki samt tieto talo päivä penni oulu	0.003670941727872	1855
10	mikkeli rantasalmi kangasniemi joroinen myymälä aleksanterinkatu joutsa kerimäki puumala mikkelinen	0.006235876092457	1855
11	sääty mietintö ehdotus esitys valiokunta kysymys puhuja pitää ehdottaa anomus	0.005266991900655	1855
12	palaa tulipalo tuli poro lokak lapsi syttyä susi polttaa rakennus	0.020753774768772	1855
13	ilmoittaa päivä pitäjä marraskuu huutokauppa pesä oikeus mainita kylässä kello	0.017938607384225	1855
14	hämeenlinna helsinki seteli vainaa marrask entää tampere häme marrast mina	0.011310398354049	1855
15	pitää seura lääni kokous mainita ilmoittaa määrätä suomi helsinki toimi	0.042536073307883	1855
16	vuosi kaupunki joulukuu tammikuu markka henki joulu suomi kuollut yhtiö	0.021035665904987	1855
17	talollinen juho kauppias torppari kaarle kustaa matti wilhelm heikki juhana	0.00383804177121	1855
18	pitää raha metsä maksaa tukea ihminen sanoa talo panna pelto	0.064404973325444	1855
19	lappi lappalainen norja norjalainen virkamies sikäläinen pappi hakea posti kartoittaa	0.004439548000264	1855
20	kello wiipuri joensuu viipuri kaupunki sunnuntai lappeenranta talo lello aamu	0.018815241436935	1855
21	nisu korkea kaura hinta puoliso tnlla kostaa lysyä alfred jalkine	9.16758342500915E-05	1855
22	kirkkoherra kappalainen virka pappi seurakunta apulainen määrätä turku toimittaa mirka	0.025418809168196	1855
23	jumala elää lapsi ihminen sana herra sydän pyhä rakkaus sanoa	0.04980403797065	1855
24	koulu opettaja virka palkka opettajatar opisto hakea julistaa aine kesäkuu	0.011635447643019	1855
25	orioka litra jofa meijeri roielä muta port foto fefä korea	0.002912858400743	1855
26	hallitus englanti keisari venäjä ranska sota saksa sanoa ulkomaa ministeri	0.05265230060342	1855
